E50005300GM0002020An50001753RNTA                                    INDUSTRIE CIGARETTE                     Tunis                                   Boulevard 15 Octobre                                                    00421080                                                                                                                                                                                 
L50005300GM00020200001221862678MAM000 EXCELCONTROL                            contrletechniquedelaconstruction        39BisRueLouisBrailleCitJardins1003TUNIS                                                                                 000000003596215000000000001344000000000467508000000000116877000000000000000000000000000000000000000000000000000000000000000000003477994                          Morale
L50005300GM0002020000123183564QAM000  SINDBADTRANSSERVICES                    TRANSPORT                               TUNISIE                                                                                                                 000000001463467000000000021952000000000233660000000000058415000000000000000000000000000000000000000000000000000000000000000000001383100                          Morale
L50005300GM00020200001241700436XAM000 ROYALTYRE                               PNEUPLEININD                            25AVDECARTHAGE1001Tunis                                                                                                 000000003519333000000000052790000000000561908000000000140477000000000000000000000000000000000000000000000000000000000000000000003326066                          Morale
L50005300GM00020200001251026832XAM000 Unipak                                  Divers20MarsInter                       RoutedeGabesKM7BP723083SFAX                                                                                             000001690800105000000000000000000000321252020000000080313005000000000000000000000000000000000000000000000000000000000000000001610487100                          Morale
L50005300GM00020200001261031575HAM000 DDFAUDIT                                SOCIETEDAUDITETDECONSEILENGESTION       LESBERGESDULACTunis1053                                                                                                 000000083371867000000001250578000000020826464000000005206616000000000000000000000000000000000000000000000000000000000000000000076914673                          Morale
L50005300GM00020200001271447001EAM000 lAngeGardien                            DiversSabotdeSol                        2RueChourouk14RDCelMenzehI1004                                                                                          000000047190600000000000707859000000007534636000000001883659000000000000000000000000000000000000000000000000000000000000000000044599082                          Morale
L50005300GM00020200001281752542JAM000 COMI                                    Fournituresindustrielles                76Rue18Janvier1952Tunis1001Tunisie                                                                                      000000005325133000000000079877000000000850240000000000212560000000000000000000000000000000000000000000000000000000000000000000005032696                          Morale
L50005300GM000202000012911518695AAM000STEBATIMENTSTANDINGSBS                  BATIMENT                                19AVENUE14JANVIER20112074MOUROUJ1                                                                                       000000120507800000000001807617000000019240748000000004810187000000000000000000000000000000000000000000000000000000000000000000113889996                          Morale
L50005300GM000202000013011045246YAC000SOTF                                    TOURNAGEETFRASAGE                       BOUMHEL                                                                                                                 000000012994800000000000194922000000002074800000000000518700000000000000000000000000000000000000000000000000000000000000000000012281178                          Morale
L50005300GM00020200001311491154YAM000 Matech                                  DiversGaletRoueStabilisatrice           GP1RoutedeSousseKm5MgrineRiadh20                                                                                        000000005831000000000000087465000000000931000000000000232750000000000000000000000000000000000000000000000000000000000000000000005510785                          Morale
L50005300GM00020200001321939998XAM000 IPSENLOGISTICS                          LOGISTIC                                TUNIS                                                                                                                   000000002992800000000000044892000000009586448000000002396612000000000000000000000000000000000000000000000000000000000000000000000551296                          Morale
L50005300GM00020200001331866771ABM000 MAISONDLINOX                            VENTEINOX                               TUNIS                                                                                                                   000000003514933000000000052724000000000561212000000000140303000000000000000000000000000000000000000000000000000000000000000000003321906                          Morale
L50005300GM00020200001341502016MAP000 MaitreLiliaMistiri                      Avocat                                  2BisRueAhmedKhobtaniAriana                                                                                              000000008600000000000000000000000000001118000000000000279500000000000000000000000000000000000000000000000000000000000000000000008320500                          Morale
L50005300GM00020200001351867323HAC000 AchrafCherif                            CommerceProduitIndustrieletMecanique    43AngleRueAliDarghouthet18Janvier                                                                                       000000001133600000000000017004000000000181000000000000045250000000000000000000000000000000000000000000000000000000000000000000001071346                          Morale
L50005300GM000202000013611011399GBM000EQUIPMODERNEHARDWARE                    COMMDEQUIPEMENT                         86AVDECARTHAGE1000TUNIS                                                                                                 000000003272467000000000049087000000000522500000000000130625000000000000000000000000000000000000000000000000000000000000000000003092755                          Morale
L50005300GM00020200001371950573WAM000 TRANSGLORYTUNISIE                       LOGISTICSETTRANSPORT                                                                                                                                            000000000420067000000000006301000000000067068000000000016767000000000000000000000000000000000000000000000000000000000000000000000396999                          Morale
L50005300GM00020200001381002167HAM000 LeMoteur                                CommercedePiecedeRechangeEngin          RueN8ZICharguiaI                                                                                                        000000000901000000000000013515000000000143856000000000035964000000000000000000000000000000000000000000000000000000000000000000000851521                          Morale
L50005300GM00020200001391848155DAM000 ManagementetFormation                   Formation                               8RuedIran1002Tunis                                                                                                      000000000750000000000000000000000000000142500000000000035625000000000000000000000000000000000000000000000000000000000000000000000714375                          Morale
L50005300GM00020200001401710611ZAM000 STPCI                                   DIVERSVALVES                            18RUE8609ZICHARGUIA2035TUNISCARTHAGE                                                                                    000000010970600000000000164559000000001751608000000000437902000000000000000000000000000000000000000000000000000000000000000000010368139                          Morale
L50005300GM00020200001411024489TAM000 GLOBALNET                               FOURNISSEURINTERNET                     IMMEULEENNOURCENTREURBAINNORD1004TUNIS                                                                                  000000109407333000000001641110000000017468520000000004367130000000000000000000000000000000000000000000000000000000000000000000103399093                          Morale
L50005300GM000202000014211125988CAP000ABDELWAHABSAIDI                         HuissierNotaire                         26BISAVVELVUEELWARDIATUNIS                                                                                              000000008480000000000000000000000000001102400000000000275600000000000000000000000000000000000000000000000000000000000000000000008204400                          Morale
L50005300GM000202000014311112214RAM000HANNIBALTRAINING                        FORMATION                               3RUEKENITRA2meETAGEAPPC5                                                                                                000000008320000000000000000000000000001580800000000000395200000000000000000000000000000000000000000000000000000000000000000000007924800                          Morale
L50005300GM00020200001441766119VAM000 softwaremanagementsolution              SERVICESINFORMATIQUES                   CITEELKHADRA1003TUNIS                                                                                                   000000062609400000000000939141000000009996460000000002499115000000000000000000000000000000000000000000000000000000000000000000059171144                          Morale
L50005300GM00020200001451818499KAM000 lumireformation                         FORMATION                               49AVdelUMAimmelemyra2imesoukra                                                                                          000000006848000000000000000000000000001301120000000000325280000000000000000000000000000000000000000000000000000000000000000000006522720                          Morale
L50005300GM00020200001461718828AAM000 steCBS                                  STEDETRAVEAUX                                                                                                                                                   000000474108067000000007111621000000075697928000000018924482000000000000000000000000000000000000000000000000000000000000000000448071964                          Morale
L50005300GM00020200001471945162WAM000 mwconsulting                            FORMATION                               10ruelhamadaramutuelleville                                                                                             000000009560000000000000000000000000001816400000000000454100000000000000000000000000000000000000000000000000000000000000000000009105900                          Morale
L50005300GM00020200001481565750WAM000 SELMMA                                  ENTREPOSAGEETLOGISTIQUE                 ZonePortuairederadres2040rads                                                                                           000000000130000000000000000000000000000024700000000000006175000000000000000000000000000000000000000000000000000000000000000000000123825                          Morale
L50005300GM000202000014910944509ZAM000carrefourinforgros                      ventematerielinformatique               25ruemustaphahjaiejnouvelariana                                                                                         000000001206400000000000018096000000000068288000000000017072000000000000000000000000000000000000000000000000000000000000000000001171232                          Morale
L50005300GM000202000015011218043YBM000SOCIETEINTERNATIONALEINFORMATIQUEETBUREAUTIQUEVENTMATERIELINFORMATIQUEETBUREAUTIQUE   14RuedesOrangesBardo2000Tunis                                                                                           000000005355000000000000080325000000000855000000000000213750000000000000000000000000000000000000000000000000000000000000000000005060925                          Morale
L50005300GM00020200001511900647VAM000 GROUPDMANUTENTGMC                       Stedechargement                         9ruesalahsaadimmeubledezineb4000sousse                                                                                  000000030837800000000000462567000000004923712000000001230928000000000000000000000000000000000000000000000000000000000000000000029144305                          Morale
L50005300GM00020200001521625362XAM000 CRISTAL                                 Quincaillerie                           21RuedelusinecharguiaIIArianaAroport2080                                                                                000001141525400000000017122881000000082162176000000020540544000000000000000000000000000000000000000000000000000000000000000001103861975                          Morale
L50005300GM000202000015311250846PAM000ENERSYSASSAD                            VENTESBATTERIES                         RUEELFOULADHZIBENAROUS                                                                                                  000000001201933000000000018029000000000191900000000000047975000000000000000000000000000000000000000000000000000000000000000000001135929                          Morale
L50005300GM00020200001541646484XPM000 GENERALHORTISERVICE                     EQUIPEMENTETSERVICES                    RouteKhlidiaKm6Naassen1135BenArous                                                                                      000000070577200000000001058658000000004617200000000001154300000000000000000000000000000000000000000000000000000000000000000000068364242                          Morale
L50005300GM000202000015516199JAM000   STEELLOUHOUM                            VENTEDELAVIANDE                         Av3aout19031009Tunis                                                                                                    000000114240000000000001713600000000017024000000000004256000000000000000000000000000000000000000000000000000000000000000000000108270400                          Morale
L50005300GM00020200001561723575GAM000 LABATTERIE                              VENTEBATTERIR                           ZIMGHIRALOT80FOUCHANA                                                                                                   000000024990000000000000374850000000003990000000000000997500000000000000000000000000000000000000000000000000000000000000000000023617650                          Morale
L50005300GM000202000015711040009PAC000MMS                                     EtudesFormationConseiletcommunication   08RuedelInde1002Tunis                                                                                                   000000002970000000000000000000000000000564300000000000141075000000000000000000000000000000000000000000000000000000000000000000002828925                          Morale
L50005300GM00020200001581823260WBM000 SOBIB                                   VENTEMATERIELSINFORMATIQUES             ruedulacdetanjanyikarsidencedulac1053                                                                                   000000004669267000000000070039000000000745524000000000186381000000000000000000000000000000000000000000000000000000000000000000004412847                          Morale
L50005300GM00020200001591837195CAP000 Matrehichemdammak                       AVOCAT                                  4ruechabanebhouri5imetageappn51TUINS                                                                                    000000001850000000000000000000000000000240500000000000060125000000000000000000000000000000000000000000000000000000000000000000001789875                          Morale
L50005300GM000202000016011089274RAM000BIOSOURCE                               ventematrielderestauration              55AvKhaiereddineBachBachaB2metage1073MontplaisirTunis                                                                   000000002889000000000000043335000000000189000000000000047250000000000000000000000000000000000000000000000000000000000000000000002798415                          Morale
L50005300GM000202000016111119954DAM000ADVANCETECH                             BUREAUXDECONFORMITE                     5RUEOUEDELKOURA2037ENNASER2                                                                                             000000093596867000000001403953000000011061504000000002765376000000000000000000000000000000000000000000000000000000000000000000089427538                          Morale
L50005300GM00020200001621797629JAM000 TUNISIANENVIRONMENTALSERVICE            TRAVAUXDENVIRONEMENT                    immsafsafapptB57ruechotterromenmonplaisirTunis1073                                                                      000000071506600000000001072599000000011417024000000002854256000000000000000000000000000000000000000000000000000000000000000000067579745                          Morale
L50005300GM000202000016311253643SAM000ITAK                                    VENTEEQUIPEMENTAGRICOLE                 124RuedjbelelatlaselAwsatjbaljloud2023Tunis                                                                             000000008342000000000000125130000000001331924000000000332981000000000000000000000000000000000000000000000000000000000000000000007883889                          Morale
L50005300GM000202000016411329798DAM000ELITEINFO                               FORMATION                               immeubleiccappartn54imeetagTUNIS                                                                                        000000082040933000000001230614000000003576464000000000894116000000000000000000000000000000000000000000000000000000000000000000079916203                          Morale
L50005300GM000202000016511328780NBC000NOUVELLECOMPTOIREAUTO                   PIECEDERECHANGE                         57ruedecarthageTUNIS                                                                                                    000000005047133000000000075707000000000805868000000000201467000000000000000000000000000000000000000000000000000000000000000000004769959                          Morale
L50005300GM000202000016611334442KAM0003IADISTRIBUTION                         VENTEMATERIELSINDUSTRIELS               SOUKLAHADSOUSSE4037                                                                                                     000000041522067000000000622831000000006574664000000001643666000000000000000000000000000000000000000000000000000000000000000000039255570                          Morale
L50005300GM000202000016711231813YAM000QUEENINFO                               FORMATION                               ARIANACENTRE2080ARIANA                                                                                                  000000002850000000000000000000000000000541500000000000135375000000000000000000000000000000000000000000000000000000000000000000002714625                          Morale
L50005300GM000202000016811254759JAM000AOUINIMAHREZ                            PLOMBERIE                               CITEENNASSIMESSAIDA2031                                                                                                 000000006157600000000000092364000000001304256000000000326064000000000000000000000000000000000000000000000000000000000000000000005739172                          Morale
L50005300GM000202000016910225440SAC000EntrepriseBATIMENTGENERALBELAHIRECHNAIM TRAVAUXDECONSTRUCTION                   8060RUECHIKHMGHIRBIBENIKHIAR                                                                                            000000047184400000000000707766000000007533652000000001883413000000000000000000000000000000000000000000000000000000000000000000044593221                          Morale
L50005300GM000202000017010777872HAM000ELKRON                                  TRAVAUX                                 2bisrueElManzahElManzah11004tunis                                                                                       000000005628667000000000084430000000000898700000000000224675000000000000000000000000000000000000000000000000000000000000000000005319562                          Morale
L50005300GM00020200001711013555BAM000 STARCONTAINERTU                         LOGISTICSETTRANSPORT                    immeublemaersktunisie2014Mgrine                                                                                         000000015761667000000000236425000000034401396000000008600349000000000000000000000000000000000000000000000000000000000000000000006924893                          Morale
L50005300GM000202000017211094683PAM000ABM                                     CONCESSIONNAIRE                         2RueElyasamineCitAgentsdelaSureteSidiFradj9029BjaSud                                                                    000000001035800000000000015537000000000165380000000000041345000000000000000000000000000000000000000000000000000000000000000000000978918                          Morale
L50005300GM000202000017311378066VAM000ARKASTUNISIE                            TRANSPORT                               ZPRADESTUNISIE2040                                                                                                      000000011560600000000000173409000000017168232000000004292058000000000000000000000000000000000000000000000000000000000000000000007095133                          Morale
L50005300GM000202000017411041577YAM000INDESIGNENGINEERING                     ETUDEDUPROJET                           RueAbederazakechraiibiemlmanzah7Ariana                                                                                  000000014927508000000000000000000000001940576000000000485144000000000000000000000000000000000000000000000000000000000000000000014442364                          Morale
L50005300GM000202000017511284482PAM000SMARTELECTRIC                           Quincaillerie                           35BISRUEAHMEDTLILITUNIS10001000TUNIS                                                                                    000000005716200000000000085743000000000890496000000000222624000000000000000000000000000000000000000000000000000000000000000000005407833                          Morale
L50005300GM000202000017611406748AAM000ELECTRIQUEDUSAHEL                       VENTEMATERIELSELECTRIQUE                53rue18janvier1952                                                                                                      000000002572067000000000038581000000000410672000000000102668000000000000000000000000000000000000000000000000000000000000000000002430818                          Morale
L50005300GM000202000017710030916EAM000VENDAS                                  DIGITALPRINTCOM                         58AvHBourguiba2033Mgrinetunisie                                                                                         000000000714000000000000010710000000000114000000000000028500000000000000000000000000000000000000000000000000000000000000000000000674790                          Morale
L50005300GM000202000017810985115KAM000APSSERVICE                              PROTECTIONCONTREINCENDIE                13rueibnchamaatunis                                                                                                     000000005633867000000000084508000000000899532000000000224883000000000000000000000000000000000000000000000000000000000000000000005324476                          Morale
L50005300GM00020200001791020209CAM000 SMTT                                    TRANSPORT                               AVHEDINOURA1125RADESMELLAHA                                                                                             000000647386800000000009710802000000046546836000000011636709000000000000000000000000000000000000000000000000000000000000000000626039289                          Morale
L50005300GM000202000018011251519FPM000NEXTSTEP                                DIAGNOSTIQUERESEAUX                     31rue1erjuinmutuellevilletunis1082                                                                                      000000042630000000000000639450000000006806472000000001701618000000000000000000000000000000000000000000000000000000000000000000040288932                          Morale
L50005300GM000202000018110349848ZAM000HENCHIRICOMPAGNIE                       ENTRETIENAUTO                           avrpubliquebenarous                                                                                                     000000002082800000000000031242000000000332540000000000083135000000000000000000000000000000000000000000000000000000000000000000001968423                          Morale
L50005300GM000202000018210287506KAC000BMCSATELLITETRACKING                    ENTRETIENTVEHICULE                      55avdelenvironnementborjlouzirariana                                                                                    000000002748600000000000041229000000000316216000000000079054000000000000000000000000000000000000000000000000000000000000000000002628317                          Morale
L50005300GM000202000018310578431BAM000TECHNOCHIMIEASSISTANCETCA               ASSISTANCETECHNIQUE                     residencesaidanefouchana                                                                                                000000003637467000000000054562000000000580792000000000145198000000000000000000000000000000000000000000000000000000000000000000003437707                          Morale
L50005300GM000202000018411007634TAM000FIRSTACADEMY                            FORMATION                               TUNIS                                                                                                                   000000012454989000000000000000000000002366448000000000591612000000000000000000000000000000000000000000000000000000000000000000011863377                          Morale
L50005300GM000202000018511190851BAM000ADVANCIAITSYSTEM                        DIAGNOSTIQUERESEAUX                     centrebabelentreoliverrueduturkanabergedulac                                                                            000000008330000000000000124950000000001330000000000000332500000000000000000000000000000000000000000000000000000000000000000000007872550                          Morale
L50005300GM000202000018611293714MAM000TECHNOQUIPDISTRIBUTION                  VENTEMASQUE                             15rueahmedtliliRDCTUNIS                                                                                                 000000042840000000000000642600000000006840000000000001710000000000000000000000000000000000000000000000000000000000000000000000040487400                          Morale
L50005300GM000202000018711369604YAC000MATHLOUTHIFETHISERVICEIMPRIMANTE        SERVICEIMPRIMENTE                       31rueibnchabbatcitelhidhab2fouchana                                                                                     000000012201533000000000183023000000001531636000000000382909000000000000000000000000000000000000000000000000000000000000000000011635601                          Morale
L50005300GM00020200001881035352LAM000 4MKLAUTOCOLLANT                         VENTESETIQUETTES                        5bisrue8610ZICHARGUIAITUNISCARTHAGE                                                                                     000000000144200000000000002163000000000023028000000000005757000000000000000000000000000000000000000000000000000000000000000000000136280                          Morale
L50005300GM000202000018911228086QAM000MTSMDIMEGHTRANSPORTSSERVICES            TRANSPORT                               rueomelaraisimmeubleejmel2iemzoneindsaintgobinbenarous                                                                  000000107059667000000001605895000000007003896000000001750974000000000000000000000000000000000000000000000000000000000000000000103702798                          Morale
L50005300GM000202000019011438611HAM000ATAI                                    Centredeformation                       RueLacBiwaImmeubleMariamBlocB1ertageBureaunB1LesbergesduLac11053tunis                                                   000000001850000000000000000000000000000351500000000000087875000000000000000000000000000000000000000000000000000000000000000000001762125                          Morale
L50005300GM000202000019111183353VAM000CHM                                     COOP2RATIONDESHANDICAPSMOTEURS          10rueZainelabidineSnoussiMontflery1008tunis                                                                             000000003941200000000000059118000000000629280000000000157320000000000000000000000000000000000000000000000000000000000000000000003724762                          Morale
L50005300GM000202000019210261198GAC000SALAHBENMOHAMEDSALAHZOUAGHI             LOCCATIONMATERIELETENSEIGNEDELOCATION   BEJA                                                                                                                    000000032100000000000000000000000000006099000000000001524750000000000000000000000000000000000000000000000000000000000000000000030575250                          Morale
L50005300GM00020200001931513895CCM000 JAPANGERMANPARTS                        VENTEPIECEAUTO                          TUNIS                                                                                                                   000000002368067000000000035521000000000315924000000000078981000000000000000000000000000000000000000000000000000000000000000000002253565                          Morale
L50005300GM000202000019411211113PMP000SOCIETEMEILLEURSPLANTES                 PLANTEURS                               TUNIS                                                                                                                   000000067262133000000001008932000000010739340000000002684835000000000000000000000000000000000000000000000000000000000000000000063568366                          Morale
L50005300GM000202000019510620152RAM000STEELFATHMATERIAUXDCONSTRUCTIO          TRAVAUX                                 TUNIS                                                                                                                   000000001947533000000000029213000000000310944000000000077736000000000000000000000000000000000000000000000000000000000000000000001840584                          Morale
L50005300GM000202000019611293730MAM000AEMADVICEENERGYMODERN                   ENERGIEMODERNE                          17AVENUEDELASOLIDARITECITEETAHRIRTUNIS2042                                                                              000000003237600000000000048564000000000516932000000000129233000000000000000000000000000000000000000000000000000000000000000000003059803                          Morale
L50005300GM000202000019710909848RAM000HARBAOUIDETRAVAUXPUBLICSETBATIMENTS     TRAVAUXDESBATIMENTS                     75RUEFERJANISOUYEHELOMRANE                                                                                              000000005758067000000000086371000000000919352000000000229838000000000000000000000000000000000000000000000000000000000000000000005441858                          Morale
L50005300GM00020200001981179141XNC000 HAKIMIAMOR                              TOLIER                                  TUNIS                                                                                                                   000000002011133000000000030167000000000321096000000000080274000000000000000000000000000000000000000000000000000000000000000000001900692                          Morale
L50005300GM000202000019910719094PAM000CIFAT                                   FORMTION                                rsidencemeriambureauA15avenuedelindependanceariana                                                                      000000001752084000000000000000000000000332896000000000083224000000000000000000000000000000000000000000000000000000000000000000001668860                          Morale
L50005300GM000202000020011459276DBM000SEMSI                                   MATERIELSDESECURITEDETRAVAIL            5ruealibelhouenmegrineriyadh                                                                                            000000019691667000000000295375000000003144088000000000786022000000000000000000000000000000000000000000000000000000000000000000018610270                          Morale
L50005300GM00020200002011014402NAM000 GENERALDESAPPLICATIONSMECANIQUES        VENTESCHARIOTSELEVATEURS                RUEDECOMMERCEZICHARGUIATUNIS                                                                                            000000044779467000000000671692000000002929500000000000732375000000000000000000000000000000000000000000000000000000000000000000043375400                          Morale
L50005300GM000202000020211081344DAM0002IINGENIERIEINDUSTRIELLE                BUREAUDETUDE                            338avenue7novembrebizerte                                                                                               000000007500000000000000000000000000000975000000000000243750000000000000000000000000000000000000000000000000000000000000000000007256250                          Morale
L50005300GM000202000020311016421HAM000EREM                                    Quincaillerie                           36AvMouaouiaIbnAbiSoufiane2037ElManzah8Tunis                                                                            000000002599333000000000038990000000000415020000000000103755000000000000000000000000000000000000000000000000000000000000000000002456588                          Morale
L50005300GM000202000020411392706PAM000INTERCLE                                CLE                                     Tunis                                                                                                                   000000000357000000000000005355000000000057000000000000014250000000000000000000000000000000000000000000000000000000000000000000000337395                          Morale
L50005300GM000202000020510496614CAM000TMF                                     TRAVAUXDUCHAUFFAGEETDELACLIMATISATION   ZIARIANAAEREPORT1080TUNISCEDEX                                                                                          000000022391067000000000335866000000003575040000000000893760000000000000000000000000000000000000000000000000000000000000000000021161441                          Morale
L50005300GM000202000020610654270FAC000BENAYEDMONGI                            VENTEPIECEFROIDETMATERIELDEREFREGERATEURS22RUEBAYROUTEZZAHRAKM5GP1                                                                                               000000000066000000000000000990000000000108612000000000027153000000000000000000000000000000000000000000000000000000000000000000000037857                          Morale
L50005300GM000202000020711211461HAC000ELMOUSSILOTFI                           TRANSPORT                               31ruedefellsidihcineTunis                                                                                               000000033705000000000000505575000000002205000000000000551250000000000000000000000000000000000000000000000000000000000000000000032648175                          Morale
L50005300GM000202000020811047453MAM000GDSAUTOMATISME                          MECANIQUEAUTO                           24bisruedaghbagitunis                                                                                                   000000001139867000000000017098000000000182004000000000045501000000000000000000000000000000000000000000000000000000000000000000001077268                          Morale
L50005300GM00020200002091036518VAM000 KACEM                                   Equipementpoureclairage                 Chergui3070kerkennah                                                                                                    000000060433533000000000906503000000003953600000000000988400000000000000000000000000000000000000000000000000000000000000000000058538630                          Morale
L50005300GM000202000021011140062BBM000MICROMED                                MATERIELINFORMATIQUE                    55RUEJEANAURES1002TUNIS                                                                                                 000000004592800000000000068892000000000300448000000000075112000000000000000000000000000000000000000000000000000000000000000000004448796                          Morale
L50005300GM000202000021111144001EAC000JAMELSOUISSICONSTMETALGCIVIL            TRAVAUXDAMENAGEMENT                     ROUTESIDIMANSOURKM7SFAX                                                                                                 000000414053267000000006210799000000066109352000000016527338000000000000000000000000000000000000000000000000000000000000000000391315130                          Morale
L50005300GM000202000021210988304BAM000SOCIETEENVIPAINT                        LOYERDEPOT                              ZIMGHIRA3LOT129                                                                                                         000000130000000000000000000000000000024700000000000006175000000000000000000000000000000000000000000000000000000000000000000000123825000                          Morale
L50005300GM000202000021311443050EBM000STESOUISSIAUTOPARTS                     SERVICEAUTO                             03RUEBENKHATRASIDIKHADARTUNIS                                                                                           000000007031667000000000105475000000001122760000000000280690000000000000000000000000000000000000000000000000000000000000000000006645502                          Morale
L50005300GM00020200002151895658MAM000 STEGENERALMATERIAUFOURNITGMF            VENTEPIENCEDERECHANGE                   18RueAliDarghouth1001Tunis                                                                                              000000031962000000000000479430000000005103208000000001275802000000000000000000000000000000000000000000000000000000000000000000030206768                          Morale
L50005300GM000202000021611056153DAM000DELTAEXPRESSELINE                       TRANSPORT                               ZONEPORTUAIRERADES                                                                                                      000000002945200000000000044178000000000470248000000000117562000000000000000000000000000000000000000000000000000000000000000000002783460                          Morale
L50005300GM00020200002171506080BAC000 ICHRAK                                  PIECEAUTO                               TUNIS                                                                                                                   000000003002133000000000045032000000000479336000000000119834000000000000000000000000000000000000000000000000000000000000000000002837267                          Morale
L50005300GM000202000021811484773LAM000SPITENGINS                              Quincaillerie                           COMPLEXEYasminetowerbureauA22CentreUrbainNord1082Tunis                                                                  000000001823467000000000027352000000000291140000000000072785000000000000000000000000000000000000000000000000000000000000000000001723330                          Morale
L50005300GM000202000021911362405MAM000SMTPSTEMEDDETRAVPUB                     TRAVAUX                                 671avenuebehiladghemborjlouizariana                                                                                     000000005188800000000000077832000000000828464000000000207116000000000000000000000000000000000000000000000000000000000000000000004903852                          Morale
L50005300GM00020200002201964051WAM000 SOCIETEENTRELEC                         TRAVAUX                                 IMPASSE9104RUEENTREPCHARGUIA2                                                                                           000000085153600000000001277304000000013595948000000003398987000000000000000000000000000000000000000000000000000000000000000000080477309                          Morale
L50005300GM000202000022111533170NBM000LACCESSOIREPRO                          VENTEACCESSOIRE                         TUNIS                                                                                                                   000000031659000000000000474885000000004754300000000001188575000000000000000000000000000000000000000000000000000000000000000000029995540                          Morale
L50005300GM000202000022211474243HAM000STEAVENIRTRANSPORTLOGISTICATL           TRANSPORT                               TARHOUNAMORNAG2090TUNIS                                                                                                 000000020137267000000000302059000000001317396000000000329349000000000000000000000000000000000000000000000000000000000000000000019505859                          Morale
L50005300GM000202000022311437670QAC000ENTREPRISEMOUADHBENDHIEFDEBAT           TRAVAUX                                 TUNIS                                                                                                                   000000007286200000000000109293000000001163348000000000290837000000000000000000000000000000000000000000000000000000000000000000006886070                          Morale
L50005300GM000202000022410035416KAM000STPS                                    SOCIETEDESTRAVAUX                       TUNIS                                                                                                                   000000098800667000000001482010000000015774896000000003943724000000000000000000000000000000000000000000000000000000000000000000093374933                          Morale
L50005300GM000202000022511076855PAM000IIFEINSTITUTINTERNATFORMAEDIT           FORMATION                               RUEDESENTREPRENEURSIMMGMGA2035                                                                                          000000000890000000000000000000000000000169100000000000042275000000000000000000000000000000000000000000000000000000000000000000000847725                          Morale
L50005300GM00020200002261750352WAM000 ADVANCIATRAINING                        DIAGNOSTIQUERESEAUX                     IMMGLOBALNET53RUEDESMINERAUXCHARGUIA1Tunis                                                                              000000017050000000000000000000000000003239500000000000809875000000000000000000000000000000000000000000000000000000000000000000016240125                          Morale
L50005300GM00020200002271005947SAM000 SOGEPESTEGENDPDTSETANCHEITE             TRAVAUX                                 40AVENUEMADRIDTUNIS                                                                                                     000000013285000000000000199275000000002121140000000000530285000000000000000000000000000000000000000000000000000000000000000000012555440                          Morale
L50005300GM000202000022811495901KBM000CGPRINTINFORMATIQPHOTOCOBURE            SERVICEINFORMATIQUE                     ZOUHAIERESSAFI1007TUNIS                                                                                                 000000000042267000000000000634000000000006744000000000001686000000000000000000000000000000000000000000000000000000000000000000000039947                          Morale
L50005300GM00020200002291946958FAM000 TECHNIAIR                               SERVICEDENTRETIEN                       28RUEDELENERGIECHARGUIA1                                                                                                000000205993533000000003089903000000024774608000000006193652000000000000000000000000000000000000000000000000000000000000000000196709978                          Morale
L50005300GM00020200002301736140AAM000 VALORIASA                               VENTEACESSOIRESDIVERS                   40AVENUEUNIONMAGHREBARABSOUKRA                                                                                          000000067889000000000001018335000000010774156000000002693539000000000000000000000000000000000000000000000000000000000000000000064177126                          Morale
L50005300GM000202000023111067223KNC000ATELIERAHMEDFANTASSI                    TOLIER                                  10RUE4020RABTATUNIS4020                                                                                                 000000002500000000000000037500000000000399160000000000099790000000000000000000000000000000000000000000000000000000000000000000002362710                          Morale
L50005300GM000202000023210710033LAM000SPESTEPLASTIQUEEMBALLAGE                EMBALLAGE                               RTEDEMSAKENZAOUIETSOUSSE                                                                                                000000249995133000000003749927000000039915200000000009978800000000000000000000000000000000000000000000000000000000000000000000236266406                          Morale
L50005300GM00020200002331130126JAM000 PREMIOSERVICESAUTO                      SERVICEAUTO                             81RUE18JANVIER1952TUNIS                                                                                                 000000010180200000000000152703000000001625416000000000406354000000000000000000000000000000000000000000000000000000000000000000009621143                          Morale
L50005300GM00020200002341768050ZAM000 TUNISIEMETAL                            VENTEMETAL                              KM12ROUTEGP1EZZAHRABENAROUS                                                                                             000000033617467000000000504262000000005367500000000001341875000000000000000000000000000000000000000000000000000000000000000000031771330                          Morale
L50005300GM00020200002351757384KAM000 SEGORSTEEXPLTGESTOUVRAGRESEAU           SERVICERESEAUX                          RUELANVLLEDELHITUNISBELVEDERETUNIS                                                                                      000000009460533000000000141908000000001510500000000000377625000000000000000000000000000000000000000000000000000000000000000000008941000                          Morale
L50005300GM0002020000236130462VAM000  SMCSTEDEMATERIELDECLIMATISATIO          SERVICECLIMATISATION                    71RUEDELENERGIEZICHARGUIA1                                                                                              000000061980933000000000929714000000009896112000000002474028000000000000000000000000000000000000000000000000000000000000000000058577191                          Morale
L50005300GM00020200002371911300DAM000 STESTETRANSFORMATIONDEMBALLAGE          EMBALLAGRE                              TUNIS                                                                                                                   000000149441200000000002241618000000023860368000000005965092000000000000000000000000000000000000000000000000000000000000000000141234490                          Morale
L50005300GM000202000023811504606JAM000SOCIETEPROBATPLUS                       VENTEACESSOIRESDIVERS                   TUNISE                                                                                                                  000000002614333000000000039215000000000417416000000000104354000000000000000000000000000000000000000000000000000000000000000000002470764                          Morale
